title,movieId
index,1000
ProviderNumber,1001
HospitalName,1002
Address1,1003
Address2,1004
Address3,1005
City,1006
State,1007
ZipCode,1008
CountyName,1009
PhoneNumber,1010
HospitalType,1011
HospitalOwner,1012
EmergencyService,1013
Condition,1014
MeasureCode,1015
MeasureName,1016
Score,1017
Sample,1018
Stateavg,1019
503,1020
382,1021
619,1022
209 north main street,1023
819,1024
2565718000,1025
378,1026
841,1027
882 patients,1028
ax,1029
35233,1030
591,1031
20x9216200,1032
798,1033
60 patients,1034
acute caxe hospitals,1035
al_scip-inf-6,1036
179 patients,1037
3x patients,1038
hexrt attxck pxtients given aspirin xt arrivxl,1039
al_pn-3b,1040
101,1041
1016 patients,1042
349,1043
249,1044
254,1045
338,1046
130 patients,1047
heaxt failuxe patients given dischaxge instxuctions,1048
316,1049
122,1050
cherokee medical center,1051
360x9,1052
93%,1053
1x patients,1054
10086,1055
737,1056
236,1057
239 patients,1058
186 patients,1059
981,1060
109,1061
242 patients,1062
281,1063
80 patients,1064
266,1065
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,1066
224,1067
45 patients,1068
university of alabama hospital,1069
communixy hospixal inc,1070
montxomery,1071
771,1072
740,1073
435,1074
x5960,1075
875,1076
luverne,1077
148,1078
817 patients,1079
309,1080
talladega,1081
3344933541,1082
95 patients,1083
94,1084
surgxcal infectxon preventxon,1085
685,1086
165 patients,1087
3342882100,1088
728,1089
35609,1090
boxz,1091
xhambers,1092
649,1093
195 patients,1094
26 patients,1095
430 patients,1096
de kalb,1097
851,1098
805,1099
441,1100
36106,1101
heart failure patients given smoking cessation advice/counseling,1102
ak_scip-inf-2,1103
142 patients,1104
flowers hospital,1105
xe kalb,1106
scip-inf-2,1107
517,1108
296,1109
833,1110
3595x,1111
217,1112
868,1113
1007 goodyear avenue,1114
392,1115
698,1116
2569275531,1117
120 patients,1118
10044,1119
150 gilbreath drive,1120
voluntary non-profit - private,1121
865,1122
volunxary non-profix - privaxe,1123
935,1124
289,1125
94%,1126
47%,1127
893,1128
752,1129
405 patients,1130
etowah,1131
642,1132
71,1133
government - hospital xistrict or authority,1134
945,1135
acutx carx hospitals,1136
ak_hf-1,1137
647,1138
279,1139
anniston,1140
99 patients,1141
pn-x,1142
scip-inf-1,1143
heart failure patients given ace inhibitor or arb for left xentricular systolic dysfunction (lxsd),1144
4%,1145
507,1146
3342228466,1147
400 northwood dr,1148
361,1149
